Capability,Original requirement,Current authority/application,Current implementation evidence,Primary classification,Test coverage,Hosted verification evidence,Known defect or limitation,Required for controlled pilot,Required for full replacement,Release blocker,Recommended action,Estimated implementation size,Dependencies,Risk
Cutouts,Sink/cook/outlet openings,addOns qty keys; Takeoff-derived after approve,TAKEOFF_DERIVED_ADDON_KEYS; approval gate,BUILT — HOSTED VERIFICATION REQUIRED,approval-gate; studio pricing,Prior,pop_up_outlet/other review-only,Yes,Yes,No,None,S,None,Low
Exposed sides / physical LF,Four-side model + LF authority,exposed sides editor; room open-edge LF manual,§180; §173; exposedSidesEditor,BUILT — HOSTED VERIFICATION REQUIRED,eos:test:takeoff-exposed-edges,Prior,Commercial edge profile still Pricing Setup,Yes,Yes,No,Scenario 2 hosted,M,None,Medium
Islands / peninsulas topology,Island four-side; peninsula attached side,topology/attached side in takeoff model,takeoff fabrication rules + worksheet,BUILT — HOSTED VERIFICATION REQUIRED,exposed-edges / fabrication tests (partial),Uncertain full hosted peninsula acceptance,Topology edge cases,Yes,Yes,No,Scenario 2,M,None,Medium
Vanity geometry (piece type),Vanity tops as pieces,vanity_top piece type in Manual Scope,PIECE_TYPES in ManualPhysicalScopeEditor,PARTIAL,Manual scope tests,N/A,Prices as countertop SF — not Vanity Program 2026,No (pilot exclude program),Yes,No,Document pilot exclusion; defer program,L,vanityProgram2026,High if sold as program
Vanity Program 2026 economics,Tiered vanity program pricing,quoteCalculator + vanityProgram2026.js (IE/public),Zero imports in elite100EstimateStudio/*,LEGACY ONLY,IE/calculator vanity tests,IE path only,Studio silently mis-prices program jobs,No,Yes,No if pilot excludes vanities,Defer; keep IE for vanity jobs,XL,Pricing Admin vanity,High
Takeoff Save draft,Persist complete correction as canonical current,saveTakeoffCorrection → physical insert + result_summary pointer,takeoffWorkspaceService.mjs; §183–184; f2e99bf in f572a36,BUILT — HOSTED VERIFICATION REQUIRED,eos:test:takeoff-physical-result-persistence; save-persistence,Not proven hosted after f2e99bf; prod quote_id nullable YES (305/305 null),Env without nullable quote_id → 503,Yes,Yes,Yes until hosted pass,Hosted Save→refresh→getResultById,M,quote_id nullable,High
Takeoff refresh persistence,Reload returns saved correction not AI A,selectAuthoritativeTakeoffResult prefers current physical resultRowId,takeoffAuthoritativeResult.mjs; §183,BUILT — HOSTED VERIFICATION REQUIRED,takeoffAuthoritativeResult.test.mjs; physical persistence,Same as Save — hosted pending,Historical silent fallback to A was the corruption risk,Yes,Yes,Yes until hosted,Hosted refresh after Save,M,Save physical rows,High
Second Save / A→B→A-like,New physical rows; no false 409 on content resemblance,lineage + mutation revision concurrency,physical persistence tests 26–40,BUILT — HOSTED VERIFICATION REQUIRED,physical + workspace service tests,Hosted pending,None if physical insert works,Yes,Yes,No,Include in hosted script,S,None,Medium
Unchanged Save,No-op without new row/revision bump,semantic equality takeoffDraftEquality,§183; takeoffDraftEquality.test.mjs,BUILT — HOSTED VERIFICATION REQUIRED,save-persistence; workspace unchanged logs,Hosted pending,None,Yes,Yes,No,None,XS,None,Low
Stale-tab 409,Optimistic concurrency; no auto-replay,stale_takeoff_correction 409,workspace service tests; explicit-save UI,BUILT — HOSTED VERIFICATION REQUIRED,save-persistence; correction coordinator,Hosted pending,User must reload manually,Yes,Yes,No,Two-tab hosted optional,S,None,Medium
Takeoff approval physical row,Approve updates ≥1 physical result; never synthetic,assertPhysicalTakeoffResult + update select length,§184; approveTakeoffJob,BUILT — HOSTED VERIFICATION REQUIRED,physical persistence 41–55; workspace approve tests,Hosted pending after f2e99bf,Zero-row update now fails (good),Yes,Yes,Yes until hosted,Hosted Approve Takeoff & Build Estimate,M,Physical Save,High
Estimate Scope seeding from approved B,Scope uses approved physical result not AI A,seedScopeFromTakeoffPayload(importPayload); refreshTakeoffGate,studioEstimateService.mjs; physical test sentinels,BUILT — HOSTED VERIFICATION REQUIRED,physical persistence scope seed assert,Hosted pending,GET estimate may revise (AUDIT-003),Yes,Yes,Yes until hosted,Hosted seed sentinel check,M,Approve Takeoff,High
Result history / getResultById,Table-backed history and direct lookup,GET results/:id; history panels,takeoffWorkspaceService getResultById,BUILT — HOSTED VERIFICATION REQUIRED,physical persistence getResultById,Hosted pending,History visibility product rules,Yes,Yes,No,Hosted GET by id,S,Physical rows,Medium
Current-result authority,result_summary pointer/cache only,resultRowId + revision markers preserved on approve,§184 merge behavior,BUILT — HOSTED VERIFICATION REQUIRED,physical + save-persistence,Hosted pending,Summary-only synthetic path removed,Yes,Yes,Yes,Hosted inspect result_summary after approve,S,None,High
Physical result-row integrity invariant,Every canonical resultId ∈ quote_takeoff_results,assertPhysicalTakeoffResult; synthetic safety test,f2e99bf; takeoffSyntheticResultIdSafety.test.mjs,BUILT — HOSTED VERIFICATION REQUIRED,eos:test:takeoff-physical-result-persistence,Prod schema quote_id nullable YES; insert path unproven hosted,Orphan row if insert succeeds assert fails,Yes,Yes,Yes,Hosted acceptance Scenario Takeoff,M,Migration/env,High
nullable quote_id (Studio lineage),Studio results without quote_headers,Path B migration + resolveResultQuoteId null,eliteos_quote_takeoff_results_quote_id_nullable_v1.sql; prod is_nullable=YES,PRODUCTION VERIFIED,Migration file presence test; MCP SQL read,Production MCP: is_nullable YES; 305/305 null quote_id,Other envs may still need migration,Yes,Yes,No if prod already YES,Apply migration only to non-prod if needed,XS,Manual SQL,Low
Material pricing (Studio),Elite 100 group rates server-side,scope.materialGroup → studioEstimatePricing → calculateQuote,studioEstimatePricing.mjs,BUILT — HOSTED VERIFICATION REQUIRED,studioEstimatePricing.test.mjs,Prior Studio calc/publish hosted fixes,Project-level group only (not per-room/piece),Yes,Yes,No,Hosted calc one kitchen,M,Rate book,Medium
Different materials by room,Per-room material groups,IE: room.materialGroup; Studio: single scope.materialGroup,IE InternalEstimateApp; Studio pricing uses one group,LEGACY ONLY (IE) / MISSING (Studio),IE UI; Studio no per-room material,N/A for Studio,Studio cannot do mixed-room materials,No (exclude mixed),Yes,No if excluded,Defer or use IE for mixed,L,Studio pricing model,High if promised
Different materials by piece,Piece overrides,IE piece.materialOverride; Studio absent,VisualLayoutCanvas materialOverride; Studio no match,LEGACY ONLY / MISSING,IE,N/A,Same,No,Yes,No,Defer,L,Same,High
Edge / backsplash / cutout / add-on pricing,Commercial rates + quantities,Pricing Setup + server calc,studioEdgeAuthority; studioEstimatePricing,BUILT — HOSTED VERIFICATION REQUIRED,pricing tests; golden-path,Prior,Partner overlays partially hardcoded,Yes,Yes,No,None,M,None,Medium
Custom line items (multi),Multiple custom lines qty×price,scope.customLineItems[]; EstimateScopePanel,studioSlice2Foundation.test.mjs; EstimateScopePanel,BUILT — HOSTED VERIFICATION REQUIRED,studioSlice2Foundation; material subtotal tests,Uncertain dedicated hosted custom-line script,UI density,Yes,Yes,No,Scenario 3 hosted,M,None,Medium
customerFacing false / absorbed costs,Internal-only costs absorbed into stone categories,internal_custom_line_allocation_v1; publication adapter strips names,studioEstimatePublicationAdapter.mjs; pricing.mjs comments,BUILT — HOSTED VERIFICATION REQUIRED,studioSlice2Foundation absorbed assert,Uncertain hosted customer view proof,Must never name publicly,Yes,Yes,Yes if leak,Hosted DE view with internal-only line,M,Publication adapter,High
Discounts / credits,Adjustments reducing customer total,countertopScopeAdjustments + edgeScopeAdjustment + markup %,studioScopeBilling; pricing,PARTIAL,pricing tests,Uncertain,No dedicated credit line type,Yes (via adjustments),Yes,No,Document adjustment UX for pilot,S,None,Medium
Hidden cost leakage protection,Customer DE never shows internal lines,publication adapter filters customerFacing,studioEstimatePublicationAdapter; golden-path delivery safety,BUILT — HOSTED VERIFICATION REQUIRED,publication + slice2 tests,Prior DE publication hosted work,Need hosted DE HTML inspection,Yes,Yes,Yes if leak,Scenario 3 customer view,M,None,High
Server-authoritative calculation,Reject client rates; fingerprint snapshots,calculateStudioEstimate; rejectCallerAuthority,studioEstimateService calculate; approval_json fingerprints,BUILT — HOSTED VERIFICATION REQUIRED,golden-path; estimate service tests,Prior hosted calc/approve,GET takeoff gate can mutate (AUDIT-003),Yes,Yes,No,Hosted Calculate→Approve,M,None,Medium
Commercial estimate approval,Explicit confirm + fingerprint,POST …/approve confirm:true,studioEstimateService.approve,BUILT — HOSTED VERIFICATION REQUIRED,golden-path,Prior,Idempotent same fingerprint,Yes,Yes,No,Hosted,S,Calc,Low
Digital Estimate publish,Explicit publish; frozen snapshot; stable token,POST …/digital-estimate/publish; freeze payloads,studioEstimateDigitalEstimateService; §110+ DE decisions,BUILT — HOSTED VERIFICATION REQUIRED,publishFix tests; golden-path,Multiple FEATURE_DECISIONS hosted publish fixes,Bridge quote_headers archived row,Yes,Yes,No,Hosted publish+open customer URL,L,Feature flags,Medium
Replace / revoke publication,Explicit replace-token / revoke,publication routes,DE service replace/revoke,BUILT — HOSTED VERIFICATION REQUIRED,golden-path scenarios,Prior,Must stay explicit,Yes,Yes,No,Scenario 5,M,None,Medium
Customer options / configure,Customer selections on DE,public digital estimate v2 session (flagged),FEATURE_DECISIONS DE.2G; synthetic pilot flags historical,PARTIAL,DE public tests exist,Synthetic allowlist historically blocked configure,Env DIGITAL_ESTIMATE_SYNTHETIC_PILOT_ONLY risk,Yes (if configure enabled),Yes,Maybe,Confirm production env flags before pilot,M,Env flags,High
Review Requests,Customer request changes; staff resolve/revise/republish,studioReviewRequestService,FEATURE_DECISIONS review request fixes; routes,BUILT — HOSTED VERIFICATION REQUIRED,review-requests-list; golden-path,Hosted createReviewRequest fix documented §,Not final acceptance,Yes,Yes,No,One RR round-trip hosted,M,Publication,Medium
Customer final acceptance,Immutable customer accept + lock,Deferred — no Studio route; golden-path forbids markSold,FEATURE_DECISIONS §181/§183 deferred; markSold sentinel,MISSING,Golden-path asserts markSold not called,None,Blocks Workflow F,No,Yes,No,Defer; use Review Request only,XL,Sold Job design,High if promised
Sold review / Mark Sold,Explicit sold + frozen sold snapshot,Quote Library Mark Sold; Studio missing,app-quote-library; CLEANUP_PLAN pause Sold Job,LEGACY ONLY / MISSING Studio,IE/QL flows,QL operational historically,No Studio path to fulfillment,No,Yes,No,Keep QL for sold; defer Studio Sold,XL,All Estimates,High
Moraware / QuickBooks handoff,Downstream ops docs/writes,QL handoff docs; Moraware sync read; no auto write from Studio,moraware docs; golden-path forbids,LEGACY ONLY / NOT REQUIRED FOR EOW,QB ingestion plan docs,Moraware sync separate product,No auto from Studio publish,No,Yes,No,Defer; manual ops,XL,Sold,Medium
Revisions (Studio),createRevisionFrom; supersede guard; recalc; republish,studio_estimates supersede unique active; 409 estimate_revision_superseded,§175–177; createRevisionFrom,BUILT — HOSTED VERIFICATION REQUIRED,studioEstimateActiveRevisionGuard; golden-path,Prior sequencing fixes,Surprising revise on GET takeoff gate,Yes,Yes,No,Scenario 5 hosted,M,None,Medium
Account Directory,Companies/contacts/locations + freeze at publish,AD APIs + identity snapshot,account-directory routes; delivery-safety tests,BUILT — HOSTED VERIFICATION REQUIRED,eos:test:studio-account-directory-delivery-safety,Prior,Duplicate handling operational,Yes,Yes,No,None,M,None,Low
Command Center / Estimate Queue,Operational next actions,EstimateCommandCenterPage + queue services,studioEstimateQueue*; CC UI tests in golden-path,BUILT — HOSTED VERIFICATION REQUIRED,golden-path CC UI,Prior,Dual vocabulary mitigated AUDIT-001,Yes,Yes,No,None,S,None,Low
Live Digital Estimates,Staff publication ops surface,liveDigitalEstimatesService,Live DE routes/UI,BUILT — HOSTED VERIFICATION REQUIRED,live-digital-estimates tests,Prior,Overlaps DE panel (AUDIT-007 mitigated),Yes,Yes,No,None,S,None,Low
All Estimates registry,Unified search across Studio+legacy families,Deferred Phases 9–10 CLEANUP_PLAN,No /all-estimates route,MISSING,None,None,Staff must use CC + QL separately,No,Yes,No,Defer; dual-tool SOP,XL,Sold+QL,Medium
Quote Library visibility of Studio,Studio SE- in Quote Library lists,Bridge rows archived/hidden from default QL lists,FEATURE_DECISIONS publish bridge; CLEANUP,CONFLICTING / DUPLICATED,None for merged search,Known by design,Operational split pipeline,No,Yes,No,SOP: Studio CC for SE-; QL for ESF-,L,All Estimates,Medium
Pricing Admin authority for Studio,DB rates drive Studio calc,pricingConfigResolver + quoteCalculator fallback; Studio uses calculator path,SYSTEM_BLUEPRINT §7; pricing-authority-map,PARTIAL,pricing admin + calc tests,Pricing Admin UI working; cutover incomplete,Hardcoded partner overlays in Studio,No (use current rates),Yes,No,Defer resolver cutover,XL,Parity tests,High
Partner pricing (Studio),Trusted partner overlays,Hardcoded Watts/Spahn style overlays in Studio path,studio pricing partner code (explore evidence),PARTIAL,Limited tests,Uncertain,Not Pricing-Admin-configurable,No,Yes,No,Document supported partners,M,Pricing Admin,Medium
Print/PDF customer,Customer-safe print,DE print view; IE browser print PDF,DE public print; IE customerPrintDisplayRows,PARTIAL / CONFLICTING,IE print tests; DE view,Separate architectures,Parity not unified,Yes (DE print),Yes,No,Use DE print for pilot,M,None,Medium
Tax / delivery / fees / labor,Commercial charges,Calculator add-ons and fee paths,quoteCalculator + Studio pricing,PARTIAL,Calc unit tests,Uncertain full Studio fee matrix,Confirm which fees Studio exposes,Yes (subset),Yes,No,Pilot fee checklist,M,Rate book,Medium
postMessage Takeoff→Studio origins,Secure approve signal,Exact origin allowlist; no targetOrigin *,§177; takeoffPostMessageOrigins.test.mjs,BUILT — HOSTED VERIFICATION REQUIRED,eos:test:takeoff-postmessage-origins,True browser E2E deferred,Regression risk if allowlist loosened,Yes,Yes,Yes if regresses,Keep gate green,S,None,High
No auto publish/email/sold/QB/Moraware,Manual-only delivery boundaries,Golden-path sentinels; Shared Inbox source guards,studioGoldenPathGate.test.mjs; sharedInbox tests,BUILT — HOSTED VERIFICATION REQUIRED,golden-path delivery-safety,Architectural Fact,Human error still possible,Yes,Yes,Yes if auto appears,Keep gate mandatory,S,None,High
Service-role secrecy,No secrets in browser,Brain-only service role; anon in heads,security-audit.mdc; architecture rules,BUILT — HOSTED VERIFICATION REQUIRED,Static discipline + prior reviews,Ongoing,Misconfig risk,Yes,Yes,Yes if leak,No new client env secrets,XS,Deploy review,Critical
Public token boundaries,Token possession ≠ staff; staff recover URL server-side,public DE routes; AES wrap recovery,FEATURE_DECISIONS DE link stability,BUILT — HOSTED VERIFICATION REQUIRED,DE public tests,Prior,Token leakage via logs risk,Yes,Yes,Yes,None,M,None,High
